Sample ,cells/mL
N29,2435000
N31,1390000
N39,888333.3333
N40,460000
N41,423333.3333
N06,1056666.667
O38,990000
O40,898333.3333
O41,970000
O47,485000
O06,1045000
O08,613333.3333
N32,850000
N33,583333.3333
N35,1313333.333
N38,791666.6667
N42,1115000
N05,611666.6667
N08,505000
O03,860000
O34,1013333.333
O39,905000
O42,311666.6667
O45,1536666.667
O48,766666.6667
O05,1173333.333
N26,716666.6667
N37,716666.6667
N43,1113333.333
N44,946666.6667
N45,1096666.667
N48,641666.6667
O29,588333.3333
O32,761666.6667
O37,865000
O43,830000
O09,571666.6667
O25,558333.3333
N03,1155000
N04,723333.3333
N46,551666.6667
N47,663333.3333
N07,715000
N09,1200000
O26,908333.3333
O35,798333.3333
O44,950000
O49,1310000
O07,756666.6667
