# Constructed from biom file
#OTU ID	3K	58K	20K	110K	127K	128K	66K	6K	11K
denovo0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo2	0.0	19.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo3	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0
denovo4	4.0	1.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0
denovo5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
denovo6	0.0	52790.0	772.0	0.0	57.0	852.0	0.0	57915.0	7.0
denovo7	0.0	0.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0
denovo8	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo9	10.0	0.0	0.0	12.0	14.0	8.0	10.0	0.0	0.0
denovo10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo11	0.0	116.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0
denovo12	42.0	0.0	0.0	18.0	57.0	64.0	28.0	51.0	0.0
denovo13	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
denovo14	11.0	0.0	0.0	3.0	15.0	10.0	5.0	0.0	0.0
denovo15	0.0	0.0	0.0	11.0	53.0	2.0	2.0	10.0	0.0
denovo16	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
denovo17	103.0	2.0	0.0	2.0	125.0	0.0	79.0	0.0	0.0
denovo18	32199.0	41.0	6.0	11345.0	30413.0	23667.0	24304.0	562.0	555.0
denovo19	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo20	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
denovo21	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
