Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150812_KBayRecov_Mcap_3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-12 14:45:59 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,54_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.4113636,23.33342743,0.110219739,,,,FALSE,0.01,FALSE,3,20,,N,N
A3,54_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.25548935,23.33342743,0.110219739,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,32_05.06,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,32_05.06,D,UNKNOWN,FAM,NFQ-MGB,25.41493988,25.30915833,0.149597704,,,,FALSE,0.01,FALSE,3,20,,N,N
A5,124_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,25.41028214,25.4256115,0.02167899,,,,FALSE,0.01,FALSE,3,20,,N,N
A6,124_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,25.44094086,25.4256115,0.02167899,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,124_12.16,C,UNKNOWN,VIC,NFQ-MGB,26.15584755,26.26420784,0.1532446,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,124_12.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,124_12.16,C,UNKNOWN,VIC,NFQ-MGB,26.37256813,26.26420784,0.1532446,,,,FALSE,0.01,FALSE,3,20,,N,Y
A8,124_12.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
A9,32_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.38300323,22.36806107,0.021132767,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,32_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.35311699,22.36806107,0.021132767,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,32_05.06,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,32_05.06,D,UNKNOWN,FAM,NFQ-MGB,25.20337677,25.30915833,0.149597704,,,,FALSE,0.01,FALSE,3,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,123_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.81356239,25.47918129,0.472886294,,,,FALSE,0.01,FALSE,3,20,,N,N
B2,123_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.14480019,25.47918129,0.472886294,,,,FALSE,0.01,FALSE,3,20,,N,N
B3,123_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.70464897,26.66415215,0.05727116,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,123_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,123_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.62365532,26.66415215,0.05727116,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,123_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
