Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\qPCR\20150812_KBayRecov_Mcap_4.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-12 17:05:26 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,126_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,28.93011856,28.84473419,0.12075308,,,,FALSE,0.01,FALSE,3,20,,N,N
A3,126_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,28.75934792,28.84473419,0.12075308,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,125_05.06,C,UNKNOWN,VIC,NFQ-MGB,26.28096962,26.39524078,0.161605179,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,125_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A5,128_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,26.68031311,26.70979309,0.041689638,,,,FALSE,0.01,FALSE,3,20,,N,N
A6,128_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,26.73927116,26.70979309,0.041689638,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,128_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.51791954,25.57310295,0.078041129,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,128_11.24,D,UNKNOWN,FAM,NFQ-MGB,28.90669632,28.84060478,0.093467548,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,128_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.62828636,25.57310295,0.078041129,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,128_11.24,D,UNKNOWN,FAM,NFQ-MGB,28.77451324,28.84060478,0.093467548,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,125_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.86818695,23.47697449,0.860955596,,,,FALSE,0.01,FALSE,3,20,,Y,N
A10,125_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.08576202,23.47697449,0.860955596,,,,FALSE,0.01,FALSE,3,20,,Y,N
A11,125_05.06,C,UNKNOWN,VIC,NFQ-MGB,26.50951385,26.39524078,0.161605179,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,125_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,127_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,27.18590736,26.48046494,0.997647583,,,,FALSE,0.01,FALSE,3,20,,Y,N
B2,127_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.7750206,26.48046494,0.997647583,,,,FALSE,0.01,FALSE,3,20,,Y,N
B3,127_10.24,C,UNKNOWN,VIC,NFQ-MGB,27.07714272,27.17450905,0.137696788,,,,FALSE,0.01,FALSE,3,20,,N,N
B3,127_10.24,D,UNKNOWN,FAM,NFQ-MGB,35.78264618,35.79914093,0.023329798,,,,FALSE,0.01,FALSE,3,20,,N,N
B4,127_10.24,C,UNKNOWN,VIC,NFQ-MGB,27.27187538,27.17450905,0.137696788,,,,FALSE,0.01,FALSE,3,20,,N,N
B4,127_10.24,D,UNKNOWN,FAM,NFQ-MGB,35.8156395,35.79914093,0.023329798,,,,FALSE,0.01,FALSE,3,20,,N,N
B5,128_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,24.3804512,24.37136841,0.012843662,,,,FALSE,0.01,FALSE,3,20,,N,N
B6,128_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,24.36228752,24.37136841,0.012843662,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,128_12.16,C,UNKNOWN,VIC,NFQ-MGB,26.6316452,26.51536942,0.164438799,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,128_12.16,D,UNKNOWN,FAM,NFQ-MGB,26.87381554,26.78580093,0.124470092,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,128_12.16,C,UNKNOWN,VIC,NFQ-MGB,26.39909363,26.51536942,0.164438799,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,128_12.16,D,UNKNOWN,FAM,NFQ-MGB,26.69778824,26.78580093,0.124470092,,,,FALSE,0.01,FALSE,3,20,,N,N
B9,130_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,21.03571701,21.63427544,0.846489429,,,,FALSE,0.01,FALSE,3,20,,Y,N
B10,130_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,22.23283386,21.63427544,0.846489429,,,,FALSE,0.01,FALSE,3,20,,Y,N
B11,130_12.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,130_12.16,D,UNKNOWN,FAM,NFQ-MGB,24.76693153,25.03739357,0.382491082,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,130_12.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,130_12.16,D,UNKNOWN,FAM,NFQ-MGB,25.30785561,25.03739357,0.382491082,,,,FALSE,0.01,FALSE,3,20,,N,N
