Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150813_KBayRecov_Mcap_redos_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-13 13:30:29 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,5_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.53433418,23.39190292,0.201429561,,,,TRUE,0.01,TRUE,3,20,,N,N
A3,5_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.24946976,23.39190292,0.201429561,,,,TRUE,0.01,TRUE,3,20,,N,N
A4,3_05.06,C,UNKNOWN,VIC,NFQ-MGB,28.31631279,28.44098663,0.176314086,,,,FALSE,0.01,FALSE,3,20,,N,Y
A4,3_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
A5,138_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,30.54777527,30.66905594,0.171518117,,,,TRUE,0.01,TRUE,3,20,,N,N
A6,138_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,30.79033852,30.66905594,0.171518117,,,,TRUE,0.01,TRUE,3,20,,N,N
A7,138_05.06,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,Y,Y
A7,138_05.06,D,UNKNOWN,FAM,NFQ-MGB,32.27481461,31.81284523,0.653323352,,,,TRUE,0.01,TRUE,3,20,,Y,Y
A8,138_05.06,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,Y,Y
A8,138_05.06,D,UNKNOWN,FAM,NFQ-MGB,31.35087585,31.81284523,0.653323352,,,,TRUE,0.01,TRUE,3,20,,Y,Y
A9,3_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,25.95388794,26.71056747,1.070106506,,,,TRUE,0.01,TRUE,3,20,,Y,N
A10,3_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,27.46724701,26.71056747,1.070106506,,,,TRUE,0.01,TRUE,3,20,,Y,N
A11,3_05.06,C,UNKNOWN,VIC,NFQ-MGB,28.56565857,28.44098663,0.176314086,,,,FALSE,0.01,FALSE,3,20,,N,Y
A11,3_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
A12,,,,,,,,,,,,,,,,,,N,N
B1,109_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.79248619,22.44799042,0.487191945,,,,TRUE,0.01,TRUE,3,20,,N,N
B2,109_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.10349274,22.44799042,0.487191945,,,,TRUE,0.01,TRUE,3,20,,N,N
B3,109_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.45193291,25.47728539,0.035853818,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,109_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B4,109_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.50263786,25.47728539,0.035853818,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,109_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B5,7_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.72571564,23.69829559,0.038779147,,,,TRUE,0.01,TRUE,3,20,,N,N
