Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150828_KBayRecov_Mcap_redos_2.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-28 13:03:52 PM HST,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL
A1,,,,,,,,,,,,,,,,,,N,N,N,N,N,N
A2,70_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,27.45680618,27.53110886,0.105079852,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A3,70_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,27.60541153,27.53110886,0.105079852,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A4,52_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,24.45643234,24.52552795,0.097714603,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
A4,52_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,27.15668106,27.18132401,0.034851734,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A5,121_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.77246666,24.68527603,0.123307519,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A6,121_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.5980835,24.68527603,0.123307519,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A7,121_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.15542984,25.05561447,0.14116025,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
A7,121_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A8,121_05.06,C,UNKNOWN,VIC,NFQ-MGB,24.9557991,25.05561447,0.14116025,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
A8,121_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A9,52_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,32.1391983,31.65014267,0.691630483,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
A10,52_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,31.16108513,31.65014267,0.691630483,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
A11,52_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,24.59462166,24.52552795,0.097714603,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
A11,52_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,27.20596886,27.18132401,0.034851734,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
A12,52_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,24.52552795,0.097714603,,,,FALSE,0.01,FALSE,3,20,,Y,N,N,Y,Y,Y
A12,52_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,27.18132401,0.034851734,,,,TRUE,0.01,TRUE,3,20,,Y,N,N,Y,Y,Y
B1,8_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,28.88198662,28.38524437,0.702499628,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
B2,8_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,27.88850212,28.38524437,0.702499628,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
B3,8_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.39743042,26.40982437,0.017527694,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
B3,8_01.14,D,UNKNOWN,FAM,NFQ-MGB,26.22833061,26.23382378,0.007768507,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B4,8_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.42221832,26.40982437,0.017527694,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
B4,8_01.14,D,UNKNOWN,FAM,NFQ-MGB,26.23931694,26.23382378,0.007768507,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B5,40_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.87647247,24.79414749,0.116423756,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B6,40_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.71182442,24.79414749,0.116423756,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B7,40_05.06,C,UNKNOWN,VIC,NFQ-MGB,26.96831131,27.17018127,0.285488576,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
B7,40_05.06,D,UNKNOWN,FAM,NFQ-MGB,33.2020607,33.01976013,0.257811934,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B8,40_05.06,C,UNKNOWN,VIC,NFQ-MGB,27.37205315,27.17018127,0.285488576,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
B8,40_05.06,D,UNKNOWN,FAM,NFQ-MGB,32.83745956,33.01976013,0.257811934,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B9,65_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,23.93937874,24.15779495,0.308888525,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B10,65_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,24.37621307,24.15779495,0.308888525,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B11,65_12.16,C,UNKNOWN,VIC,NFQ-MGB,24.66198921,24.840271,0.252127171,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
B11,65_12.16,D,UNKNOWN,FAM,NFQ-MGB,37.77945709,37.93118668,0.214578032,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
B12,65_12.16,C,UNKNOWN,VIC,NFQ-MGB,25.01855087,24.840271,0.252127171,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
B12,65_12.16,D,UNKNOWN,FAM,NFQ-MGB,38.08291626,37.93118668,0.214578032,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
C1,109_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,36.18834686,36.30402374,0.16358912,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
C2,109_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,36.41969681,36.30402374,0.16358912,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
C3,109_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.58897018,26.4734726,0.163338259,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
C3,109_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
C4,109_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.35797501,26.4734726,0.163338259,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
C4,109_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
C5,72_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,27.40101624,27.27809525,0.173835188,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
C6,72_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,27.15517616,27.27809525,0.173835188,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
C7,72_05.06,C,UNKNOWN,VIC,NFQ-MGB,26.50076294,26.36989212,0.185079291,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N,N,N
C7,72_05.06,D,UNKNOWN,FAM,NFQ-MGB,36.66576004,37.88789749,1.728363395,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
C8,72_05.06,C,UNKNOWN,VIC,NFQ-MGB,26.2390213,26.36989212,0.185079291,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N,N,N
C8,72_05.06,D,UNKNOWN,FAM,NFQ-MGB,39.11003494,37.88789749,1.728363395,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
C9,5_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.71661758,23.29946899,0.58993721,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
C10,5_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.8823204,23.29946899,0.58993721,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
C11,5_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.40541077,25.25053787,0.219024703,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
C11,5_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
C12,5_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.09566307,25.25053787,0.219024703,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
C12,5_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D1,111_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,35.17075348,35.13682938,0.047975928,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D2,111_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,35.10290527,35.13682938,0.047975928,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D3,111_01.14,C,UNKNOWN,VIC,NFQ-MGB,25.16158676,25.0225296,0.196655169,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
D3,111_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
D4,111_01.14,C,UNKNOWN,VIC,NFQ-MGB,24.88347435,25.0225296,0.196655169,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
D4,111_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
D5,122_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.88466072,24.80710602,0.109678909,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D6,122_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.72955132,24.80710602,0.109678909,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D7,122_05.06,C,UNKNOWN,VIC,NFQ-MGB,27.27095413,27.23112297,0.056329768,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
D7,122_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
D8,122_05.06,C,UNKNOWN,VIC,NFQ-MGB,27.19129181,27.23112297,0.056329768,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
D8,122_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
D9,128_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,24.8892746,24.79525757,0.132958815,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D10,128_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,24.70124245,24.79525757,0.132958815,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D11,128_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.93885612,23.93379021,0.00716429,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
D11,128_10.24_reex,D,UNKNOWN,FAM,NFQ-MGB,29.96546555,30.24906921,0.401077509,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
D12,128_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.92872429,23.93379021,0.00716429,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
D12,128_10.24_reex,D,UNKNOWN,FAM,NFQ-MGB,30.53267479,30.24906921,0.401077509,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
E1,126_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,34.30546188,33.60651779,0.98845619,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
E2,126_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,32.9075737,33.60651779,0.98845619,,,,TRUE,0.01,TRUE,3,20,,N,Y,N,N,N,N
E3,126_01.14,C,UNKNOWN,VIC,NFQ-MGB,34.91448975,34.91448975,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
E3,126_01.14,D,UNKNOWN,FAM,NFQ-MGB,30.37930489,30.45301819,0.104246356,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
E4,126_01.14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.91448975,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
E4,126_01.14,D,UNKNOWN,FAM,NFQ-MGB,30.52673149,30.45301819,0.104246356,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
E5,83_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,28.92511368,28.60102654,0.458328426,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
E6,83_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,28.27693939,28.60102654,0.458328426,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
E7,83_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.13441849,26.10192871,0.045946132,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
