date,time,PAR_raw,PAR_calibrated_umol/m^2/s
01/01/2015, 00:15:00,0,0
01/01/2015, 00:30:00,0,0
01/01/2015, 00:45:00,0,0
01/01/2015, 01:00:00,0,0
01/01/2015, 01:15:00,0,0
01/01/2015, 01:30:00,0,0
01/01/2015, 01:45:00,0,0
01/01/2015, 02:00:00,0,0
01/01/2015, 02:15:00,0,0
01/01/2015, 02:30:00,0,0
01/01/2015, 02:45:00,0,0
01/01/2015, 03:00:00,0,0
01/01/2015, 03:15:00,0,0
01/01/2015, 03:30:00,0,0
01/01/2015, 03:45:00,0,0
01/01/2015, 04:00:00,0,0
01/01/2015, 04:15:00,0,0
01/01/2015, 04:30:00,0,0
01/01/2015, 04:45:00,0,0
01/01/2015, 05:00:00,0,0
01/01/2015, 05:15:00,0,0
01/01/2015, 05:30:00,0,0
01/01/2015, 05:45:00,0,0
01/01/2015, 06:00:00,0,0
01/01/2015, 06:15:00,0,0
01/01/2015, 06:30:00,0,0
01/01/2015, 06:45:00,0,0
01/01/2015, 07:00:00,2,0.794
01/01/2015, 07:15:00,43,9.622
01/01/2015, 07:30:00,123,22.617
01/01/2015, 07:45:00,336,51.208
01/01/2015, 08:00:00,739,97.208
01/01/2015, 08:15:00,1780,198.683
01/01/2015, 08:30:00,2543,265.55
01/01/2015, 08:45:00,3163,317.102
01/01/2015, 09:00:00,2995,303.336
01/01/2015, 09:15:00,4179,397.717
01/01/2015, 09:30:00,5682,510.597
01/01/2015, 09:45:00,6101,541.011
01/01/2015, 10:00:00,6503,569.826
01/01/2015, 10:15:00,7206,619.434
01/01/2015, 10:30:00,7772,658.718
01/01/2015, 10:45:00,8292,694.34
01/01/2015, 11:00:00,9190,754.895
01/01/2015, 11:15:00,8745,725.032
01/01/2015, 11:30:00,5393,489.376
01/01/2015, 11:45:00,4293,406.518
01/01/2015, 12:00:00,2263,241.517
01/01/2015, 12:15:00,1650,186.8
01/01/2015, 12:30:00,1831,203.3
01/01/2015, 12:45:00,1370,160.583
01/01/2015, 13:00:00,2275,242.558
01/01/2015, 13:15:00,3039,306.955
01/01/2015, 13:30:00,4470,420.096
01/01/2015, 13:45:00,5317,483.76
01/01/2015, 14:00:00,2859,292.087
01/01/2015, 14:15:00,5429,492.031
01/01/2015, 14:30:00,3492,343.674
01/01/2015, 14:45:00,5239,477.981
01/01/2015, 15:00:00,4687,436.606
01/01/2015, 15:15:00,6405,562.833
01/01/2015, 15:30:00,8209,688.683
01/01/2015, 15:45:00,5526,499.168
01/01/2015, 16:00:00,2829,289.592
01/01/2015, 16:15:00,2874,293.332
01/01/2015, 16:30:00,1737,194.771
01/01/2015, 16:45:00,1797,200.224
01/01/2015, 17:00:00,2241,239.606
01/01/2015, 17:15:00,1652,186.984
01/01/2015, 17:30:00,799,103.578
01/01/2015, 17:45:00,296,46.193
01/01/2015, 18:00:00,122,22.467
01/01/2015, 18:15:00,27,6.59
01/01/2015, 18:30:00,1,0.452
01/01/2015, 18:45:00,0,0
01/01/2015, 19:00:00,0,0
01/01/2015, 19:15:00,0,0
01/01/2015, 19:30:00,0,0
01/01/2015, 19:45:00,0,0
01/01/2015, 20:00:00,0,0
01/01/2015, 20:15:00,0,0
01/01/2015, 20:30:00,0,0
01/01/2015, 20:45:00,0,0
01/01/2015, 21:00:00,0,0
01/01/2015, 21:15:00,0,0
01/01/2015, 21:30:00,0,0
01/01/2015, 21:45:00,0,0
01/01/2015, 22:00:00,0,0
01/01/2015, 22:15:00,0,0
01/01/2015, 22:30:00,0,0
01/01/2015, 22:45:00,0,0
01/01/2015, 23:00:00,0,0
01/01/2015, 23:15:00,0,0
01/01/2015, 23:30:00,0,0
01/01/2015, 23:45:00,0,0
01/01/2015, 24:00:00,0,0
02/01/2015, 00:15:00,0,0
02/01/2015, 00:30:00,0,0
02/01/2015, 00:45:00,0,0
02/01/2015, 01:00:00,0,0
02/01/2015, 01:15:00,0,0
02/01/2015, 01:30:00,0,0
02/01/2015, 01:45:00,0,0
02/01/2015, 02:00:00,0,0
02/01/2015, 02:15:00,0,0
02/01/2015, 02:30:00,0,0
02/01/2015, 02:45:00,0,0
