date,time,PAR_raw,PAR_calibrated_umol/m^2/s
1/1/2015, 00:15:00,0,0
1/1/2015, 00:30:00,0,0
1/1/2015, 00:45:00,0,0
1/1/2015, 01:00:00,0,0
1/1/2015, 01:15:00,0,0
1/1/2015, 01:30:00,0,0
1/1/2015, 01:45:00,0,0
1/1/2015, 02:00:00,0,0
1/1/2015, 02:15:00,0,0
1/1/2015, 02:30:00,0,0
1/1/2015, 02:45:00,0,0
1/1/2015, 03:00:00,0,0
1/1/2015, 03:15:00,0,0
1/1/2015, 03:30:00,0,0
1/1/2015, 03:45:00,0,0
1/1/2015, 04:00:00,0,0
1/1/2015, 04:15:00,0,0
1/1/2015, 04:30:00,0,0
1/1/2015, 04:45:00,0,0
1/1/2015, 05:00:00,0,0
1/1/2015, 05:15:00,0,0
1/1/2015, 05:30:00,0,0
1/1/2015, 05:45:00,0,0
1/1/2015, 06:00:00,0,0
1/1/2015, 06:15:00,0,0
1/1/2015, 06:30:00,0,0
1/1/2015, 06:45:00,0,0
1/1/2015, 07:00:00,3,0.306742473
1/1/2015, 07:15:00,48,4.011939497
1/1/2015, 07:30:00,124,9.673180778
1/1/2015, 07:45:00,416,29.71834506
1/1/2015, 08:00:00,679,46.80930761
1/1/2015, 08:15:00,1262,83.16713011
1/1/2015, 08:30:00,2229,140.9424583
1/1/2015, 08:45:00,2665,166.3368227
1/1/2015, 09:00:00,2475,155.3108017
1/1/2015, 09:15:00,3313,203.5357552
1/1/2015, 09:30:00,4549,273.1019642
1/1/2015, 09:45:00,4918,293.5856838
1/1/2015, 10:00:00,5372,318.6357436
1/1/2015, 10:15:00,5886,346.8116682
1/1/2015, 10:30:00,6541,382.4601535
1/1/2015, 10:45:00,7061,410.5754839
1/1/2015, 11:00:00,7492,433.7643808
1/1/2015, 11:15:00,7602,439.6669138
1/1/2015, 11:30:00,7559,437.3603042
1/1/2015, 11:45:00,8271,475.4347573
1/1/2015, 12:00:00,6486,379.4771201
1/1/2015, 12:15:00,3683,224.531992
1/1/2015, 12:30:00,1949,124.4462728
1/1/2015, 12:45:00,3717,226.4534479
1/1/2015, 13:00:00,2501,156.8231604
1/1/2015, 13:15:00,1827,117.2059152
1/1/2015, 13:30:00,2082,132.3020434
1/1/2015, 13:45:00,6663,389.0705809
1/1/2015, 14:00:00,3442,210.8745125
1/1/2015, 14:15:00,6084,357.616893
1/1/2015, 14:30:00,5319,315.7195867
1/1/2015, 14:45:00,4719,282.5533492
1/1/2015, 15:00:00,3587,219.0996991
1/1/2015, 15:15:00,4919,293.6410397
1/1/2015, 15:30:00,7854,453.1658393
1/1/2015, 15:45:00,7557,437.2529969
1/1/2015, 16:00:00,5723,337.8966415
1/1/2015, 16:15:00,2356,148.3739021
1/1/2015, 16:30:00,1254,82.67813682
1/1/2015, 16:45:00,1955,124.8014892
1/1/2015, 17:00:00,2381,149.8333063
1/1/2015, 17:15:00,1757,113.0358566
1/1/2015, 17:30:00,874,59.15656211
1/1/2015, 17:45:00,379,27.25910013
1/1/2015, 18:00:00,128,9.962198258
1/1/2015, 18:15:00,22,1.946112434
1/1/2015, 18:30:00,2,0.210612668
1/1/2015, 18:45:00,0,0
1/1/2015, 19:00:00,0,0
1/1/2015, 19:15:00,0,0
1/1/2015, 19:30:00,0,0
1/1/2015, 19:45:00,0,0
1/1/2015, 20:00:00,0,0
1/1/2015, 20:15:00,0,0
1/1/2015, 20:30:00,0,0
1/1/2015, 20:45:00,0,0
1/1/2015, 21:00:00,0,0
1/1/2015, 21:15:00,0,0
1/1/2015, 21:30:00,0,0
1/1/2015, 21:45:00,0,0
1/1/2015, 22:00:00,0,0
1/1/2015, 22:15:00,0,0
1/1/2015, 22:30:00,0,0
1/1/2015, 22:45:00,0,0
1/1/2015, 23:00:00,0,0
1/1/2015, 23:15:00,0,0
1/1/2015, 23:30:00,0,0
1/1/2015, 23:45:00,0,0
1/1/2015, 24:00:00,0,0
2/1/2015, 00:15:00,0,0
2/1/2015, 00:30:00,0,0
2/1/2015, 00:45:00,0,0
2/1/2015, 01:00:00,0,0
2/1/2015, 01:15:00,0,0
2/1/2015, 01:30:00,0,0
2/1/2015, 01:45:00,0,0
2/1/2015, 02:00:00,0,0
2/1/2015, 02:15:00,0,0
2/1/2015, 02:30:00,0,0
2/1/2015, 02:45:00,0,0
2/1/2015, 03:00:00,0,0
2/1/2015, 03:15:00,0,0
2/1/2015, 03:30:00,0,0
2/1/2015, 03:45:00,0,0
2/1/2015, 04:00:00,0,0
2/1/2015, 04:15:00,0,0
2/1/2015, 04:30:00,0,0
2/1/2015, 04:45:00,0,0
2/1/2015, 05:00:00,0,0
2/1/2015, 05:15:00,0,0
2/1/2015, 05:30:00,0,0
2/1/2015, 05:45:00,0,0
2/1/2015, 06:00:00,0,0
2/1/2015, 06:15:00,0,0
2/1/2015, 06:30:00,0,0
2/1/2015, 06:45:00,0,0
2/1/2015, 07:00:00,1,0.110748888
2/1/2015, 07:15:00,14,1.279805296
2/1/2015, 07:30:00,77,6.218451121
2/1/2015, 07:45:00,153,11.75448861
2/1/2015, 08:00:00,405,28.98894555
2/1/2015, 08:15:00,663,45.78559585
2/1/2015, 08:30:00,999,66.96323908
2/1/2015, 08:45:00,954,64.16151106
2/1/2015, 09:00:00,1182,78.26679708
2/1/2015, 09:15:00,1562,101.3537436
2/1/2015, 09:30:00,2294,144.7496919
2/1/2015, 09:45:00,2257,142.5834734
2/1/2015, 10:00:00,2059,130.9462018
2/1/2015, 10:15:00,3092,190.9142959
2/1/2015, 10:30:00,2960,183.3446236
2/1/2015, 10:45:00,7402,428.9303512
2/1/2015, 11:00:00,6663,389.0705809
2/1/2015, 11:15:00,5348,317.3154801
2/1/2015, 11:30:00,9499,540.5552389
2/1/2015, 11:45:00,6673,389.6120269
2/1/2015, 12:00:00,9591,545.4083238
2/1/2015, 12:15:00,4986,297.3480258
2/1/2015, 12:30:00,5989,352.4358105
2/1/2015, 12:45:00,5574,329.7311685
2/1/2015, 13:00:00,5482,324.6814966
2/1/2015, 13:15:00,6774,395.0773412
2/1/2015, 13:30:00,4385,263.9597957
2/1/2015, 13:45:00,3523,215.472311
2/1/2015, 14:00:00,3844,233.6194531
2/1/2015, 14:15:00,4893,292.2015216
2/1/2015, 14:30:00,6052,355.8723477
2/1/2015, 14:45:00,6077,357.2353308
2/1/2015, 15:00:00,5202,309.2745183
2/1/2015, 15:15:00,3429,210.1358662
2/1/2015, 15:30:00,2477,155.4271779
2/1/2015, 15:45:00,2102,133.4801509
2/1/2015, 16:00:00,1961,125.1566264
2/1/2015, 16:15:00,2206,139.5933608
2/1/2015, 16:30:00,1480,96.41021785
2/1/2015, 16:45:00,1372,89.86857244
2/1/2015, 17:00:00,981,65.84367249
2/1/2015, 17:15:00,796,54.24454407
2/1/2015, 17:30:00,660,45.59345115
2/1/2015, 17:45:00,361,26.05648347
2/1/2015, 18:00:00,107,8.436978698
2/1/2015, 18:15:00,18,1.61567338
2/1/2015, 18:30:00,1,0.110748888
2/1/2015, 18:45:00,0,0
2/1/2015, 19:00:00,0,0
2/1/2015, 19:15:00,0,0
2/1/2015, 19:30:00,0,0
2/1/2015, 19:45:00,0,0
2/1/2015, 20:00:00,0,0
2/1/2015, 20:15:00,0,0
2/1/2015, 20:30:00,0,0
2/1/2015, 20:45:00,0,0
2/1/2015, 21:00:00,0,0
2/1/2015, 21:15:00,0,0
2/1/2015, 21:30:00,0,0
2/1/2015, 21:45:00,0,0
2/1/2015, 22:00:00,0,0
2/1/2015, 22:15:00,0,0
2/1/2015, 22:30:00,0,0
2/1/2015, 22:45:00,0,0
2/1/2015, 23:00:00,0,0
2/1/2015, 23:15:00,0,0
2/1/2015, 23:30:00,0,0
2/1/2015, 23:45:00,0,0
2/1/2015, 24:00:00,0,0
3/1/2015, 00:15:00,0,0
3/1/2015, 00:30:00,0,0
3/1/2015, 00:45:00,0,0
3/1/2015, 01:00:00,0,0
3/1/2015, 01:15:00,0,0
3/1/2015, 01:30:00,0,0
3/1/2015, 01:45:00,0,0
3/1/2015, 02:00:00,0,0
3/1/2015, 02:15:00,0,0
3/1/2015, 02:30:00,0,0
3/1/2015, 02:45:00,0,0
3/1/2015, 03:00:00,0,0
3/1/2015, 03:15:00,0,0
3/1/2015, 03:30:00,0,0
3/1/2015, 03:45:00,0,0
3/1/2015, 04:00:00,0,0
3/1/2015, 04:15:00,0,0
3/1/2015, 04:30:00,0,0
3/1/2015, 04:45:00,0,0
3/1/2015, 05:00:00,0,0
3/1/2015, 05:15:00,0,0
3/1/2015, 05:30:00,0,0
3/1/2015, 05:45:00,0,0
3/1/2015, 06:00:00,0,0
3/1/2015, 06:15:00,0,0
3/1/2015, 06:30:00,0,0
3/1/2015, 06:45:00,0,0
3/1/2015, 07:00:00,1,0.110748888
3/1/2015, 07:15:00,23,2.028007692
3/1/2015, 07:30:00,85,6.815371681
3/1/2015, 07:45:00,176,13.38453453
3/1/2015, 08:00:00,451,32.03002538
3/1/2015, 08:15:00,944,63.53761457
3/1/2015, 08:30:00,967,64.97186675
3/1/2015, 08:45:00,1307,85.9135625
3/1/2015, 09:00:00,1390,90.96137147
3/1/2015, 09:15:00,1704,109.8705065
3/1/2015, 09:30:00,2009,127.9949016
3/1/2015, 09:45:00,2312,145.8026072
3/1/2015, 10:00:00,2618,163.6148147
3/1/2015, 10:15:00,2943,182.3679791
3/1/2015, 10:30:00,3245,199.6589431
3/1/2015, 10:45:00,3326,204.2762484
3/1/2015, 11:00:00,3763,229.0510338
3/1/2015, 11:15:00,3606,220.1756707
3/1/2015, 11:30:00,3960,240.1497404
3/1/2015, 11:45:00,4519,271.4314325
3/1/2015, 12:00:00,3711,226.1144606
3/1/2015, 12:15:00,3583,218.873126
3/1/2015, 12:30:00,3561,217.6266449
3/1/2015, 12:45:00,4869,290.872242
3/1/2015, 13:00:00,6668,389.3413113
3/1/2015, 13:15:00,5127,305.1375324
3/1/2015, 13:30:00,6055,356.0359273
3/1/2015, 13:45:00,4172,252.0488061
3/1/2015, 14:00:00,7107,413.0552018
3/1/2015, 14:15:00,8436,484.2234503
3/1/2015, 14:30:00,5260,312.4708121
3/1/2015, 14:45:00,3883,235.8165584
3/1/2015, 15:00:00,8229,473.1956095
3/1/2015, 15:15:00,3663,223.4011221
3/1/2015, 15:30:00,5906,347.9042907
3/1/2015, 15:45:00,4154,251.0402471
3/1/2015, 16:00:00,3989,241.7801242
3/1/2015, 16:15:00,2563,160.4249668
3/1/2015, 16:30:00,1752,112.7375385
3/1/2015, 16:45:00,1046,69.87971203
3/1/2015, 17:00:00,940,63.2879217
3/1/2015, 17:15:00,1244,82.06657603
3/1/2015, 17:30:00,654,45.20897093
3/1/2015, 17:45:00,440,31.30495202
3/1/2015, 18:00:00,192,14.50923801
3/1/2015, 18:15:00,40,3.387892376
3/1/2015, 18:30:00,2,0.210612668
3/1/2015, 18:45:00,0,0
3/1/2015, 19:00:00,0,0
3/1/2015, 19:15:00,0,0
3/1/2015, 19:30:00,0,0
3/1/2015, 19:45:00,0,0
3/1/2015, 20:00:00,0,0
3/1/2015, 20:15:00,0,0
3/1/2015, 20:30:00,0,0
3/1/2015, 20:45:00,0,0
3/1/2015, 21:00:00,0,0
3/1/2015, 21:15:00,0,0
3/1/2015, 21:30:00,0,0
3/1/2015, 21:45:00,0,0
3/1/2015, 22:00:00,0,0
3/1/2015, 22:15:00,0,0
3/1/2015, 22:30:00,0,0
3/1/2015, 22:45:00,0,0
3/1/2015, 23:00:00,0,0
3/1/2015, 23:15:00,0,0
3/1/2015, 23:30:00,0,0
3/1/2015, 23:45:00,0,0
3/1/2015, 24:00:00,0,0
4/1/2015, 00:15:00,0,0
4/1/2015, 00:30:00,0,0
4/1/2015, 00:45:00,0,0
4/1/2015, 01:00:00,0,0
4/1/2015, 01:15:00,0,0
4/1/2015, 01:30:00,0,0
4/1/2015, 01:45:00,0,0
4/1/2015, 02:00:00,0,0
4/1/2015, 02:15:00,0,0
4/1/2015, 02:30:00,0,0
4/1/2015, 02:45:00,0,0
4/1/2015, 03:00:00,0,0
4/1/2015, 03:15:00,0,0
4/1/2015, 03:30:00,0,0
4/1/2015, 03:45:00,0,0
4/1/2015, 04:00:00,0,0
4/1/2015, 04:15:00,0,0
4/1/2015, 04:30:00,0,0
4/1/2015, 04:45:00,0,0
4/1/2015, 05:00:00,0,0
4/1/2015, 05:15:00,0,0
4/1/2015, 05:30:00,0,0
4/1/2015, 05:45:00,0,0
4/1/2015, 06:00:00,0,0
4/1/2015, 06:15:00,0,0
4/1/2015, 06:30:00,0,0
4/1/2015, 06:45:00,0,0
4/1/2015, 07:00:00,2,0.210612668
4/1/2015, 07:15:00,48,4.011939497
4/1/2015, 07:30:00,188,14.2287238
4/1/2015, 07:45:00,502,35.37544669
4/1/2015, 08:00:00,912,61.53788829
4/1/2015, 08:15:00,909,61.35015502
4/1/2015, 08:30:00,1278,84.14444229
4/1/2015, 08:45:00,2118,134.42205
4/1/2015, 09:00:00,2663,166.2210641
4/1/2015, 09:15:00,3084,190.4562067
4/1/2015, 09:30:00,4007,242.7916529
4/1/2015, 09:45:00,2890,179.3205016
4/1/2015, 10:00:00,2658,165.9316399
4/1/2015, 10:15:00,3961,240.2059749
4/1/2015, 10:30:00,5877,346.3199001
4/1/2015, 10:45:00,6667,389.2871664
4/1/2015, 11:00:00,4766,285.1619757
4/1/2015, 11:15:00,4068,246.2171643
4/1/2015, 11:30:00,4838,289.1545505
4/1/2015, 11:45:00,4996,297.9009956
4/1/2015, 12:00:00,5619,332.1989045
4/1/2015, 12:15:00,6855,399.456132
4/1/2015, 12:30:00,6631,387.3375561
4/1/2015, 12:45:00,5189,308.5577531
4/1/2015, 13:00:00,5328,316.2149315
4/1/2015, 13:15:00,4702,281.6093392
4/1/2015, 13:30:00,6320,370.4625589
4/1/2015, 13:45:00,7241,420.2721083
4/1/2015, 14:00:00,5842,344.4069472
4/1/2015, 14:15:00,8251,474.3685998
4/1/2015, 14:30:00,7274,422.0479096
4/1/2015, 14:45:00,7306,423.7693395
4/1/2015, 15:00:00,6260,367.2000695
4/1/2015, 15:15:00,4290,258.6527038
4/1/2015, 15:30:00,2495,156.4742564
4/1/2015, 15:45:00,2199,139.1825634
4/1/2015, 16:00:00,2299,145.0422284
4/1/2015, 16:15:00,2249,142.1147638
4/1/2015, 16:30:00,2276,143.6961757
4/1/2015, 16:45:00,1663,107.4169355
4/1/2015, 17:00:00,1173,77.71402848
4/1/2015, 17:15:00,823,55.94865399
4/1/2015, 17:30:00,654,45.20897093
4/1/2015, 17:45:00,349,25.25232639
4/1/2015, 18:00:00,171,13.03156782
4/1/2015, 18:15:00,33,2.834375282
4/1/2015, 18:30:00,2,0.210612668
