Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150807_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-07 10:47:15 AM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,8_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,27.68466377,28.78430176,1.555122972,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A3,8_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,29.88393974,28.78430176,1.555122972,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A4,8_05.06,C,UNKNOWN,VIC,NFQ-MGB,29.43316841,29.76023865,0.462547153,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A4,8_05.06,D,UNKNOWN,FAM,NFQ-MGB,28.16123772,28.30803299,0.207599863,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A5,6_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,30.76515388,30.54743958,0.307895869,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A6,6_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,30.32972336,30.54743958,0.307895869,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A7,6_10.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A7,6_10.24,D,UNKNOWN,FAM,NFQ-MGB,27.37153053,27.26359749,0.152640373,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,6_10.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,6_10.24,D,UNKNOWN,FAM,NFQ-MGB,27.15566444,27.26359749,0.152640373,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A9,8_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.29277039,22.05711746,0.333262205,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A10,8_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,21.82146645,22.05711746,0.333262205,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A11,8_05.06,C,UNKNOWN,VIC,NFQ-MGB,30.08730888,29.76023865,0.462547153,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A11,8_05.06,D,UNKNOWN,FAM,NFQ-MGB,28.45482826,28.30803299,0.207599863,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,5_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,28.35967255,28.34946442,0.014437824,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B2,5_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,28.33925438,28.34946442,0.014437824,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B3,5_10.24,C,UNKNOWN,VIC,NFQ-MGB,29.97929192,30.18361473,0.288956106,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
B3,5_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
B4,5_10.24,C,UNKNOWN,VIC,NFQ-MGB,30.38793755,30.18361473,0.288956106,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
