Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150808_KBayRecov_Mcap_2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-08 11:46:21 AM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,54_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.65534973,22.65534973,,,,,FALSE,0.01,FALSE,3,20,,N,N
A3,54_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.04766273,22.04766273,,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,54_11.24,C,UNKNOWN,VIC,NFQ-MGB,24.46816063,24.41094208,0.080917902,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,54_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A5,52_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,21.72810364,21.65996933,0.096356459,,,,FALSE,0.01,FALSE,3,20,,N,N
A6,52_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,21.59183502,21.65996933,0.096356459,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,52_10.24,C,UNKNOWN,VIC,NFQ-MGB,25.27805328,25.24391937,0.048273988,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,52_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.65282822,26.72101593,0.096430644,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,52_10.24,C,UNKNOWN,VIC,NFQ-MGB,25.20978355,25.24391937,0.048273988,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,52_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.78920174,26.72101593,0.096430644,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,54_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.17959976,23.05341721,0.178447738,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,54_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.92723656,23.05341721,0.178447738,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,54_11.24,C,UNKNOWN,VIC,NFQ-MGB,24.35372543,24.41094208,0.080917902,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,54_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,51_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.00994873,23.42123032,0.832572222,,,,FALSE,0.01,FALSE,3,20,,Y,N
B2,51_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.83251381,23.42123032,0.832572222,,,,FALSE,0.01,FALSE,3,20,,Y,N
B3,51_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.22682381,26.27915573,0.074008517,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,51_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,51_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.33148766,26.27915573,0.074008517,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,51_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B5,52_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,21.36387444,21.35545349,0.011909014,,,,FALSE,0.01,FALSE,3,20,,N,N
B6,52_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,21.34703255,21.35545349,0.011909014,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,52_11.04,C,UNKNOWN,VIC,NFQ-MGB,25.9305191,25.95197105,0.030337639,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,52_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.74867439,24.69921494,0.069947585,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,52_11.04,C,UNKNOWN,VIC,NFQ-MGB,25.973423,25.95197105,0.030337639,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,52_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.64975357,24.69921494,0.069947585,,,,FALSE,0.01,FALSE,3,20,,N,N
B9,53_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.44420624,22.35139465,0.131254047,,,,FALSE,0.01,FALSE,3,20,,N,N
B10,53_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.25858498,22.35139465,0.131254047,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,53_11.24,C,UNKNOWN,VIC,NFQ-MGB,24.70440102,24.71654129,0.017167592,,,,FALSE,0.01,FALSE,3,20,,N,Y
B11,53_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,53_11.24,C,UNKNOWN,VIC,NFQ-MGB,24.72867966,24.71654129,0.017167592,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,53_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C1,51_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,22.7096138,22.48659706,0.315393299,,,,FALSE,0.01,FALSE,3,20,,N,N
C2,51_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,22.26358032,22.48659706,0.315393299,,,,FALSE,0.01,FALSE,3,20,,N,N
