Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150810_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-10 10:18:18 AM HST,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD
A1,,,,,,,,,,,,,,,,,,N
A2,72_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,25.89305687,25.6953125,0.279651433,,,,TRUE,0.01,TRUE,3,20,,N
A3,72_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,25.49757004,25.6953125,0.279651433,,,,TRUE,0.01,TRUE,3,20,,N
A4,72_11.24,C,UNKNOWN,NED,NFQ-MGB,26.43678665,26.48077202,0.062204704,,,,FALSE,0.01,FALSE,3,20,,N
A4,72_11.24,D,UNKNOWN,FAM,NFQ-MGB,28.21426392,28.04263878,0.242714599,,,,TRUE,0.01,TRUE,3,20,,N
A5,70_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.87254524,22.8933506,0.02942322,,,,TRUE,0.01,TRUE,3,20,,N
A6,70_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.91415596,22.8933506,0.02942322,,,,TRUE,0.01,TRUE,3,20,,N
A7,70_10.24,C,UNKNOWN,NED,NFQ-MGB,35.69863129,34.66741562,1.458359241,,,,FALSE,0.01,FALSE,3,20,,Y
A7,70_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.21463394,26.14319229,0.101032399,,,,TRUE,0.01,TRUE,3,20,,Y
A8,70_10.24,C,UNKNOWN,NED,NFQ-MGB,33.63619995,34.66741562,1.458359241,,,,FALSE,0.01,FALSE,3,20,,Y
A8,70_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.07175255,26.14319229,0.101032399,,,,TRUE,0.01,TRUE,3,20,,Y
A9,72_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.63396645,22.78204346,0.209411174,,,,TRUE,0.01,TRUE,3,20,,N
A10,72_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.93011856,22.78204346,0.209411174,,,,TRUE,0.01,TRUE,3,20,,N
A11,72_11.24,C,UNKNOWN,NED,NFQ-MGB,26.52475739,26.48077202,0.062204704,,,,FALSE,0.01,FALSE,3,20,,N
A11,72_11.24,D,UNKNOWN,FAM,NFQ-MGB,27.87101364,28.04263878,0.242714599,,,,TRUE,0.01,TRUE,3,20,,N
A12,,,,,,,,,,,,,,,,,,N
B1,69_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,27.74584961,27.59568214,0.212368861,,,,TRUE,0.01,TRUE,3,20,,N
