Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150811_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-11 20:25:21 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,80_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,26.26960945,26.4875679,0.308241159,,,,FALSE,0.01,FALSE,3,20,,N,N
A3,80_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,26.70552826,26.4875679,0.308241159,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,80_05.06,C,UNKNOWN,VIC,NFQ-MGB,27.3750515,27.38822556,0.018630929,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,80_05.06,D,UNKNOWN,FAM,NFQ-MGB,32.12172318,31.88359833,0.336758047,,,,FALSE,0.01,FALSE,3,20,,N,N
A5,84_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,26.17693329,25.91575241,0.369366884,,,,FALSE,0.01,FALSE,3,20,,N,N
A6,84_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,25.65456963,25.91575241,0.369366884,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,84_10.24,C,UNKNOWN,VIC,NFQ-MGB,24.8390255,24.71841812,0.170564592,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,84_10.24,D,UNKNOWN,FAM,NFQ-MGB,36.37419128,36.37419128,,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,84_10.24,C,UNKNOWN,VIC,NFQ-MGB,24.59781075,24.71841812,0.170564592,,,,FALSE,0.01,FALSE,3,20,,N,Y
A8,84_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.37419128,,,,,FALSE,0.01,FALSE,3,20,,N,Y
A9,80_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,28.99097252,29.14037323,0.211285859,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,80_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,29.28977585,29.14037323,0.211285859,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,80_05.06,C,UNKNOWN,VIC,NFQ-MGB,27.40139961,27.38822556,0.018630929,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,80_05.06,D,UNKNOWN,FAM,NFQ-MGB,31.64547539,31.88359833,0.336758047,,,,FALSE,0.01,FALSE,3,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,83_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.70926666,24.26901627,0.622609437,,,,FALSE,0.01,FALSE,3,20,,Y,N
B2,83_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.82876396,24.26901627,0.622609437,,,,FALSE,0.01,FALSE,3,20,,Y,N
B3,83_10.24,C,UNKNOWN,VIC,NFQ-MGB,30.45340538,30.11974525,0.471866667,,,,FALSE,0.01,FALSE,3,20,,Y,N
B3,83_10.24,D,UNKNOWN,FAM,NFQ-MGB,35.89203262,35.19841385,0.980925083,,,,FALSE,0.01,FALSE,3,20,,Y,N
B4,83_10.24,C,UNKNOWN,VIC,NFQ-MGB,29.78608513,30.11974525,0.471866667,,,,FALSE,0.01,FALSE,3,20,,Y,N
B4,83_10.24,D,UNKNOWN,FAM,NFQ-MGB,34.50479507,35.19841385,0.980925083,,,,FALSE,0.01,FALSE,3,20,,Y,N
