Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150818_KBayRecov_Mcap_redos_2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-18 16:50:46 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,127_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,25.21700287,24.98852348,0.323118657,,,,FALSE,0.01,FALSE,3,20,,N,N
A3,127_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,24.7600441,24.98852348,0.323118657,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,137_12.16_reex,C,UNKNOWN,VIC,NFQ-MGB,25.6836586,25.61414337,0.098310724,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,137_12.16_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N
A5,123_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,30.18809891,30.35665894,0.238381222,,,,FALSE,0.01,FALSE,3,20,,N,N
A6,123_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,30.52522087,30.35665894,0.238381222,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,123_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,26.61420059,26.64375877,0.041801583,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,123_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N
A8,123_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,26.67331696,26.64375877,0.041801583,,,,FALSE,0.01,FALSE,3,20,,N,Y
A8,123_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
A9,137_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,24.45691872,24.35834885,0.139400199,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,137_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,24.25977707,24.35834885,0.139400199,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,137_12.16_reex,C,UNKNOWN,VIC,NFQ-MGB,25.54462624,25.61414337,0.098310724,,,,FALSE,0.01,FALSE,3,20,,N,Y
A11,137_12.16_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
A12,,,,,,,,,,,,,,,,,,N,N
B1,123_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,28.17359924,28.08938408,0.119098224,,,,FALSE,0.01,FALSE,3,20,,N,N
B2,123_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,28.00516891,28.08938408,0.119098224,,,,FALSE,0.01,FALSE,3,20,,N,N
B3,123_12.16_reex,C,UNKNOWN,VIC,NFQ-MGB,27.21519852,26.98593521,0.324227273,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,123_12.16_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B4,123_12.16_reex,C,UNKNOWN,VIC,NFQ-MGB,26.75667191,26.98593521,0.324227273,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,123_12.16_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B5,122_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,25.48292351,25.51897812,0.05098892,,,,FALSE,0.01,FALSE,3,20,,N,N
B6,122_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,25.55503273,25.51897812,0.05098892,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,122_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.05491829,23.03816605,0.023692599,,,,FALSE,0.01,FALSE,3,20,,N,Y
B7,122_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B8,122_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.0214119,23.03816605,0.023692599,,,,FALSE,0.01,FALSE,3,20,,N,Y
B8,122_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B9,43_01.14_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,32.91219711,32.69539642,0.306599766,,,,FALSE,0.01,FALSE,3,20,,N,N
B10,43_01.14_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,32.47859955,32.69539642,0.306599766,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,43_01.14_reex,C,UNKNOWN,VIC,NFQ-MGB,27.2795105,27.61694336,0.477203488,,,,FALSE,0.01,FALSE,3,20,,N,Y
B11,43_01.14_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B12,43_01.14_reex,C,UNKNOWN,VIC,NFQ-MGB,27.95437813,27.61694336,0.477203488,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,43_01.14_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
C1,111_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,26.71062279,26.48668671,0.316692084,,,,FALSE,0.01,FALSE,3,20,,N,N
C2,111_12.16_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,26.26275253,26.48668671,0.316692084,,,,FALSE,0.01,FALSE,3,20,,N,N
C3,111_12.16_reex,C,UNKNOWN,VIC,NFQ-MGB,26.33851624,26.31064224,0.039418429,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,111_12.16_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
C4,111_12.16_reex,C,UNKNOWN,VIC,NFQ-MGB,26.28277016,26.31064224,0.039418429,,,,FALSE,0.01,FALSE,3,20,,N,Y
C4,111_12.16_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
C5,126_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,22.70041275,22.78166962,0.114915915,,,,FALSE,0.01,FALSE,3,20,,N,N
C6,126_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,22.86292839,22.78166962,0.114915915,,,,FALSE,0.01,FALSE,3,20,,N,N
C7,126_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C7,126_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,24.48864555,24.49762344,0.012696654,,,,TRUE,0.01,TRUE,3,20,,N,N
C8,126_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C8,126_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,24.50660133,24.49762344,0.012696654,,,,TRUE,0.01,TRUE,3,20,,N,N
