Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150828_KBayRecov_Mcap_redos_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,44_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,21.93808746,21.88947487,0.068748593,,,,FALSE,0.01,FALSE,3,20,,N,N
A3,44_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,21.84086227,21.88947487,0.068748593,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,137_12.16,C,UNKNOWN,VIC,NFQ-MGB,36.18392563,36.12746048,0.079853781,,,,FALSE,0.01,FALSE,3,20,,N,Y
A4,137_12.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,N,Y
A5,43_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,25.61945534,25.56039047,0.083530337,,,,FALSE,0.01,FALSE,3,20,,N,N
A6,43_11.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,25.50132561,25.56039047,0.083530337,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,43_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,31.98145676,31.99649811,0.021271683,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,43_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,N,N
A8,43_11.24_reex,C,UNKNOWN,VIC,NFQ-MGB,32.01153946,31.99649811,0.021271683,,,,FALSE,0.01,FALSE,3,20,,N,Y
A8,43_11.24_reex,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,N,Y
A9,137_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,137_12.16,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,137_12.16,C,UNKNOWN,VIC,NFQ-MGB,36.07099533,36.12746048,0.079853781,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,137_12.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,20_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,32.25629425,31.4072113,1.200783253,,,,FALSE,0.01,FALSE,3,20,,Y,N
